State,Year,Quarter,HPI
AK,1975,1,62.04
AK,1975,2,63.75
AK,1975,3,67.33
AK,1975,4,68.48
AK,1976,1,70.58
AK,1976,2,69.81
AK,1976,3,74.78
AK,1976,4,72.21
AK,1977,1,78.41
AK,1977,2,79.35
AK,1977,3,81.02
AK,1977,4,79.28
AK,1978,1,79.00
AK,1978,2,86.11
AK,1978,3,87.15
AK,1978,4,86.99
AK,1979,1,88.89
AK,1979,2,95.87
AK,1979,3,93.00
AK,1979,4,95.32
AK,1980,1,100.00
AK,1980,2,81.08
AK,1980,3,73.81
AK,1980,4,94.37
AK,1981,1,89.29
AK,1981,2,107.98
AK,1981,3,115.79
AK,1981,4,128.66
AK,1982,1,135.00
AK,1982,2,129.77
AK,1982,3,140.32
AK,1982,4,135.97
AK,1983,1,137.88
AK,1983,2,140.18
AK,1983,3,144.55
AK,1983,4,145.17
AK,1984,1,149.14
AK,1984,2,147.47
AK,1984,3,152.80
AK,1984,4,151.38
AK,1985,1,144.31
AK,1985,2,144.79
AK,1985,3,145.54
AK,1985,4,140.84
AK,1986,1,141.57
AK,1986,2,144.12
AK,1986,3,139.62
AK,1986,4,136.11
AK,1987,1,132.96
AK,1987,2,123.89
AK,1987,3,115.09
AK,1987,4,104.27
AK,1988,1,120.87
AK,1988,2,114.13
AK,1988,3,125.53
AK,1988,4,131.24
AK,1989,1,127.81
AK,1989,2,103.84
AK,1989,3,103.28
AK,1989,4,101.40
AK,1990,1,97.99
AK,1990,2,111.47
AK,1990,3,121.11
AK,1990,4,118.79
AK,1991,1,123.65
AK,1991,2,126.65
AK,1991,3,130.46
AK,1991,4,130.70
AK,1992,1,132.49
AK,1992,2,133.61
AK,1992,3,134.34
AK,1992,4,135.00
AK,1993,1,134.73
AK,1993,2,135.20
AK,1993,3,137.63
AK,1993,4,138.38
AK,1994,1,139.46
AK,1994,2,142.74
AK,1994,3,144.34
AK,1994,4,143.74
AK,1995,1,145.73
AK,1995,2,148.57
AK,1995,3,149.91
AK,1995,4,150.47
AK,1996,1,152.83
AK,1996,2,155.21
AK,1996,3,155.76
AK,1996,4,157.83
AK,1997,1,157.81
AK,1997,2,158.83
AK,1997,3,160.27
AK,1997,4,162.16
AK,1998,1,162.07
AK,1998,2,164.78
AK,1998,3,166.22
AK,1998,4,165.91
AK,1999,1,167.98
AK,1999,2,171.70
AK,1999,3,171.21
AK,1999,4,171.57
AK,2000,1,171.04
AK,2000,2,173.42
AK,2000,3,174.57
AK,2000,4,175.10
AK,2001,1,177.85
AK,2001,2,181.58
AK,2001,3,184.06
AK,2001,4,184.59
AK,2002,1,187.41
AK,2002,2,192.63
